accuracy_MLP,F1_MLP,specificity_MLP,ROC_AUC_MLP
0.6133893132209778,0.7515194834935743,0.5895529918262171,0.6472757458686829
0.6098290681838989,0.7467989314593031,0.584162994853365,0.6414278149604797
0.6391392946243286,0.7256729578580922,0.48817732333213804,0.6154896020889282
0.6099613308906555,0.7486848058461582,0.5868369715107238,0.6438013911247253
0.711191713809967,0.7209899083619957,0.35800475938182014,0.610332190990448
0.6968284249305725,0.7152763296076766,0.3705643940664874,0.6030733585357666
0.6058140993118286,0.7335711937167558,0.5600047088892401,0.6253196597099304
0.7639596462249756,0.71285355143521,0.22780094850473595,0.6004051566123962
0.618575394153595,0.7558821033927372,0.5904863610368046,0.6523540019989014
0.8173125386238098,0.6996295268611491,0.0821119547942096,0.5842208862304688
0.6192229986190796,0.7585230851726212,0.5945477784126042,0.6556800007820129
0.6570743322372437,0.7173007741721716,0.442047021626886,0.6055904030799866
0.6092572808265686,0.7482087558481053,0.587005146143262,0.643210768699646
0.6156530976295471,0.7489159487290612,0.5801940735254615,0.6440442204475403
0.6100117564201355,0.7603036227461982,0.614498456984255,0.6579264998435974
